CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
873603716,70,BROOKLYN,03/29/2020,01:00:00,03/30/2020,00:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,03/31/2020,991547,168934,40.63036654500007,-73.97371261299998,"(40.63036654500007, -73.97371261299998)"
790934838,79,BROOKLYN,02/17/2020,23:00:00,02/17/2020,23:30:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,03/23/2020,999634,190253,40.688872153000034,-73.94452903199993,"(40.688872153000034, -73.94452903199993)"
683850733,43,BRONX,03/28/2020,16:00:00,03/28/2020,17:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,03/30/2020,1020316,239179,40.82310129900002,-73.86969046099993,"(40.82310129900002, -73.86969046099993)"
593444790,5,MANHATTAN,05/01/2019,18:00:00,05/01/2019,19:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,03/26/2020,984946,200203,40.716195914000025,-73.99749074599998,"(40.716195914000025, -73.99749074599998)"
303191835,77,BROOKLYN,03/28/2020,19:30:00,03/28/2020,20:30:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,OPPOSITE OF,RAPE,,157,RAPE 1,STREET,03/30/2020,1003606,185050,40.67458330800008,-73.93022154099998,"(40.67458330800008, -73.93022154099998)"
792601406,79,BROOKLYN,03/03/2017,08:00:00,03/03/2019,23:59:00,ATTEMPTED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,03/19/2020,999634,190253,40.688872153000034,-73.94452903199993,"(40.688872153000034, -73.94452903199993)"
518683698,41,BRONX,03/25/2020,09:00:00,03/25/2020,13:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,03/25/2020,1013232,236725,40.816391847000034,-73.89529641399997,"(40.816391847000034, -73.89529641399997)"
822892494,77,BROOKLYN,01/23/2020,23:00:00,01/24/2020,08:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/24/2020,1003606,185050,40.67458330800008,-73.93022154099998,"(40.67458330800008, -73.93022154099998)"
506603813,113,QUEENS,07/01/2018,09:00:00,01/17/2020,20:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE-HOUSE,01/25/2020,1046367,186986,40.67970040800003,-73.77604736799998,"(40.67970040800003, -73.77604736799998)"
763236432,71,BROOKLYN,01/27/2020,01:30:00,01/27/2020,02:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,FRONT OF,RAPE,,157,RAPE 1,OTHER,01/27/2020,998749,181383,40.66452749800004,-73.94773929099993,"(40.66452749800004, -73.94773929099993)"
708727347,33,MANHATTAN,01/28/2020,00:15:00,01/28/2020,00:20:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,REAR OF,RAPE,,157,RAPE 1,HOSPITAL,01/28/2020,1001936,245282,40.83990820100007,-73.93608358699998,"(40.83990820100007, -73.93608358699998)"
240789992,33,MANHATTAN,01/24/2020,19:23:00,01/24/2020,19:28:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/24/2020,1001936,245282,40.83990820100007,-73.93608358699998,"(40.83990820100007, -73.93608358699998)"
